X,CH1,Start,Increment
Sequence,VOLT,4.75E-05,1.00E-06
498,-1.96E-03,,
499,-1.96E-03,,
500,-1.96E-03,,
501,-1.96E-03,,
502,-2.24E-03,,
503,-2.24E-03,,
504,-2.24E-03,,
505,-2.24E-03,,
506,-2.24E-03,,
507,-2.24E-03,,
508,-2.24E-03,,
509,-2.24E-03,,
510,-2.24E-03,,
511,-2.24E-03,,
512,-2.24E-03,,
513,-2.24E-03,,
514,-2.24E-03,,
515,-2.24E-03,,
516,-2.24E-03,,
517,-2.24E-03,,
518,-2.24E-03,,
519,-2.24E-03,,
520,-2.24E-03,,
521,-1.96E-03,,
522,-1.96E-03,,
523,-1.96E-03,,
524,-1.96E-03,,
525,-1.96E-03,,
526,-1.96E-03,,
527,-1.68E-03,,
528,-1.68E-03,,
529,-1.68E-03,,
530,-1.68E-03,,
531,-1.40E-03,,
532,-1.40E-03,,
533,-1.40E-03,,
534,-1.12E-03,,
535,-1.12E-03,,
536,-1.12E-03,,
537,-1.12E-03,,
538,-8.40E-04,,
539,-8.40E-04,,
540,-8.40E-04,,
541,-5.60E-04,,
542,-5.60E-04,,
543,-5.60E-04,,
544,-2.80E-04,,
545,-2.80E-04,,
546,-2.80E-04,,
547,0.00E+00,,
548,0.00E+00,,
549,2.80E-04,,
550,2.80E-04,,
551,5.60E-04,,
552,5.60E-04,,
553,8.40E-04,,
554,1.12E-03,,
555,1.12E-03,,
556,1.12E-03,,
557,1.40E-03,,
558,1.40E-03,,
559,1.68E-03,,
560,1.96E-03,,
561,1.96E-03,,
562,1.96E-03,,
563,1.96E-03,,
564,2.24E-03,,
565,2.24E-03,,
566,2.52E-03,,
567,2.52E-03,,
568,2.52E-03,,
569,2.80E-03,,
570,2.80E-03,,
571,3.08E-03,,
572,3.08E-03,,
573,3.36E-03,,
574,3.36E-03,,
575,3.36E-03,,
576,3.64E-03,,
577,3.64E-03,,
578,3.64E-03,,
579,3.64E-03,,
580,3.92E-03,,
581,3.92E-03,,
582,3.92E-03,,
583,3.92E-03,,
584,4.20E-03,,
585,4.20E-03,,
586,4.48E-03,,
587,4.48E-03,,
588,4.48E-03,,
589,4.48E-03,,
