X,CH1,Start,Increment,adjusted,
Sequence,VOLT,4.75E-05,1.00E-06,,
514,-0.00196,,,0.00224,30.84
515,-0.00196,,,0.00252,30.9
516,-0.00196,,,0.00252,30.96
517,-0.00196,,,0.0028,31.02
518,-0.00196,,,0.0028,31.08
519,-0.00196,,,0.00308,31.14
520,-0.00196,,,0.00308,31.2
521,-0.00196,,,0.00336,31.26
522,-0.00196,,,0.00364,31.32
523,-0.00196,,,0.00364,31.38
524,-0.00196,,,0.00392,31.44
525,-0.00196,,,0.00392,31.5
526,-0.00196,,,0.00392,31.56
527,-0.00196,,,0.0042,31.62
528,-0.00168,,,0.0042,31.68
529,-0.00168,,,0.00448,31.74
530,-0.00168,,,0.00448,31.8
531,-0.00168,,,0.00476,31.86
532,-0.0014,,,0.00476,31.92
533,-0.0014,,,0.00476,31.98
534,-0.0014,,,0.00504,32.04
535,-0.0014,,,0.00532,32.1
536,-0.0014,,,0.00532,32.16
537,-0.00112,,,0.0056,32.22
538,-0.00112,,,0.0056,32.28
539,-0.00112,,,0.00588,32.34
540,-0.00084,,,0.00588,32.4
541,-0.00084,,,0.00588,32.46
542,-0.00084,,,0.00616,32.52
543,-0.00056,,,0.00644,32.58
544,-0.00056,,,0.00644,32.64
545,-0.00028,,,0.00672,32.7
546,-0.00028,,,0.00672,32.76
547,0,,,0.007,32.82
548,0,,,0.007,32.88
549,0,,,0.007,32.94
550,0.00028,,,0.00728,33
551,0.00028,,,0.00728,33.06
552,0.00056,,,0.00728,33.12
553,0.00056,,,0.00728,33.18
554,0.00084,,,0.00756,33.24
555,0.00084,,,0.00756,33.3
556,0.00112,,,0.00784,33.36
557,0.0014,,,0.00784,33.42
558,0.0014,,,0.00784,33.48
559,0.00168,,,0.00812,33.54
560,0.00168,,,0.00812,33.6
561,0.00168,,,0.00812,33.66
562,0.00196,,,0.00812,33.72
563,0.00196,,,0.0084,33.78
564,0.00224,,,0.0084,33.84
565,0.00224,,,0.0084,33.9
566,0.00252,,,0.0084,33.96
567,0.00252,,,0.0084,34.02
568,0.00252,,,0.0084,34.08
569,0.0028,,,0.0084,34.14
570,0.00308,,,0.0084,34.2
571,0.00308,,,0.00868,34.26
572,0.00336,,,0.00868,34.32
573,0.00336,,,0.00868,34.38
574,0.00364,,,0.00868,34.44
575,0.00364,,,0.00868,34.5
576,0.00364,,,0.00868,34.56
577,0.00392,,,0.00868,34.62
578,0.0042,,,0.00868,34.68
579,0.0042,,,0.00868,34.74
580,0.00448,,,0.00868,34.8
581,0.00448,,,0.00868,34.86
582,0.00476,,,0.00868,34.92
583,0.00476,,,0.00868,34.98
584,0.00476,,,0.00868,35.04
585,0.00504,,,0.00868,35.1
586,0.00504,,,0.00868,35.16
587,0.00504,,,0.00868,35.22
588,0.00504,,,0.00868,35.28
589,0.00532,,,0.00868,35.34
590,0.00532,,,0.00868,35.4
591,0.0056,,,0.00868,35.46
592,0.0056,,,0.00868,35.52
593,0.0056,,,0.00868,35.58
594,0.00588,,,0.00868,35.64
595,0.00588,,,0.00868,35.7
596,0.00588,,,0.00868,35.76
597,0.00588,,,0.0084,35.82
598,0.00616,,,0.0084,35.88
599,0.00616,,,0.0084,35.94
600,0.00616,,,0.0084,36
601,0.00616,,,0.0084,36.06
602,0.00616,,,0.0084,36.12
603,0.00616,,,0.00812,36.18
604,0.00616,,,0.00812,36.24
605,0.00616,,,0.00812,36.3
606,0.00644,,,0.00812,36.36
607,0.00644,,,0.00812,36.42
608,0.00644,,,0.00812,36.48
609,0.00644,,,0.00812,36.54
610,0.00644,,,0.00784,36.6
611,0.00644,,,0.00784,36.66
612,0.00644,,,0.00784,36.72
613,0.00644,,,0.00784,36.78
614,0.00644,,,0.00756,36.84
615,0.00644,,,0.00756,36.9
616,0.00644,,,0.00756,36.96
617,0.00644,,,0.00756,37.02
618,0.00644,,,0.00728,37.08
619,0.00644,,,0.00728,37.14
620,0.00644,,,0.007,37.2
621,0.00644,,,0.007,37.26
622,0.00644,,,0.007,37.32
623,0.00644,,,0.00672,37.38
624,0.00644,,,0.00672,37.44
625,0.00644,,,0.00672,37.5
626,0.00644,,,0.00644,37.56
627,0.00644,,,0.00644,37.62
628,0.00644,,,0.00616,37.68
629,0.00644,,,0.00616,37.74
630,0.00644,,,0.00588,37.8
631,0.00644,,,0.00588,37.86
632,0.00616,,,0.0056,37.92
633,0.00616,,,0.0056,37.98
634,0.00616,,,0.00532,38.04
635,0.00616,,,0.00532,38.1
636,0.00616,,,0.00504,38.16
637,0.00616,,,0.00504,38.22
638,0.00588,,,0.00476,38.28
639,0.00588,,,0.00476,38.34
640,0.00588,,,0.00448,38.4
641,0.00588,,,0.00448,38.46
642,0.00588,,,0.00448,38.52
643,0.00588,,,0.0042,38.58
644,0.00588,,,0.0042,38.64
645,0.0056,,,0.0042,38.7
646,0.0056,,,0.00392,38.76
647,0.0056,,,0.00392,38.82
648,0.0056,,,0.00392,38.88
649,0.00532,,,0.00364,38.94
650,0.00532,,,0.00364,39
651,0.00532,,,0.00336,39.06
652,0.00532,,,0.00336,39.12
653,0.00504,,,0.00308,39.18
654,0.00504,,,0.00308,39.24
655,0.00476,,,0.00308,39.3
656,0.00476,,,0.0028,39.36
657,0.00476,,,0.0028,39.42
658,0.00448,,,0.0028,39.48
659,0.00448,,,0.00252,39.54
660,0.00448,,,0.00252,39.6
661,0.0042,,,0.00224,39.66
662,0.0042,,,0.00224,39.72
663,0.00392,,,0.00224,39.78
664,0.00392,,,0.00196,39.84
665,0.00364,,,0.00196,39.9
666,0.00364,,,0.00196,39.96
667,0.00336,,,0.00196,40.02
668,0.00336,,,0.00168,40.08
669,0.00308,,,0.00168,40.14
670,0.00308,,,0.00168,40.2
671,0.0028,,,0.00168,40.26
672,0.0028,,,0.00168,40.32
673,0.00252,,,0.00168,40.38
674,0.00252,,,0.0014,40.44
675,0.00224,,,0.0014,40.5
676,0.00224,,,0.0014,40.56
677,0.00224,,,0.0014,40.62
678,0.00196,,,0.0014,40.68
679,0.00196,,,0.0014,40.74
680,0.00196,,,0.0014,40.8
681,0.00168,,,0.0014,40.86
682,0.00168,,,0.0014,40.92
683,0.00168,,,0.0014,40.98
684,0.0014,,,0.0014,41.04
685,0.0014,,,0.0014,41.1
686,0.00112,,,0.0014,41.16
687,0.00112,,,0.0014,41.22
688,0.00084,,,0.0014,41.28
689,0.00084,,,0.0014,41.34
690,0.00084,,,0.0014,41.4
691,0.00056,,,0.00112,41.46
692,0.00056,,,0.00112,41.52
693,0.00056,,,0.00112,41.58
694,0.00028,,,0.00112,41.64
695,0.00028,,,0.0014,41.7
696,0,,,0.0014,41.76
697,0,,,0.0014,41.82
698,0,,,0.00168,41.88
699,-0.00028,,,0.00168,41.94
700,-0.00028,,,0.00168,42
701,-0.00028,,,0.00168,42.06
702,-0.00028,,,0.00196,42.12
703,-0.00056,,,0.00196,42.18
704,-0.00056,,,0.00224,42.24
705,-0.00056,,,0.00224,42.3
706,-0.00056,,,0.00224,42.36
707,-0.00056,,,0.00224,42.42
708,-0.00056,,,0.00252,42.48
709,-0.00084,,,0.00252,42.54
710,-0.00084,,,0.0028,42.6
711,-0.00084,,,0.0028,42.66
712,-0.00084,,,0.00308,42.72
713,-0.00084,,,0.00308,42.78
714,-0.00084,,,0.00336,42.84
715,-0.00084,,,0.00336,42.9
716,-0.00084,,,0.00364,42.96
717,-0.00084,,,0.00364,43.02
718,-0.00084,,,0.00392,43.08
719,-0.00084,,,0.00392,43.14
720,-0.00084,,,0.0042,43.2
721,-0.00084,,,0.0042,43.26
722,-0.00084,,,0.00448,43.32
723,-0.00084,,,0.00448,43.38
724,-0.00084,,,0.00476,43.44
725,-0.00084,,,0.00504,43.5
726,-0.00112,,,0.00504,43.56
727,-0.00112,,,0.00532,43.62
728,-0.00112,,,0.00532,43.68
729,-0.00112,,,0.0056,43.74
730,-0.00084,,,0.0056,43.8
731,-0.00084,,,0.00588,43.86
732,-0.00084,,,0.00588,43.92
733,-0.00056,,,0.00616,43.98
734,-0.00056,,,0.00616,44.04
735,-0.00056,,,0.00644,44.1
736,-0.00056,,,0.00644,44.16
737,-0.00028,,,0.00672,44.22
738,-0.00028,,,0.00672,44.28
739,0,,,0.007,44.34
740,0,,,0.007,44.4
741,0,,,0.007,44.46
742,0,,,0.00728,44.52
743,0.00028,,,0.00756,44.58
744,0.00028,,,0.00756,44.64
745,0.00056,,,0.00756,44.7
746,0.00056,,,0.00784,44.76
747,0.00084,,,0.00784,44.82
748,0.00084,,,0.00812,44.88
749,0.00112,,,0.00812,44.94
750,0.00112,,,0.0084,45
751,0.0014,,,0.0084,45.06
752,0.0014,,,0.00868,45.12
753,0.00168,,,0.00868,45.18
754,0.00168,,,0.00896,45.24
755,0.00196,,,0.00896,45.3
756,0.00196,,,0.00896,45.36
