X,CH1,Start,Increment,adjusted
Sequence,VOLT,4.75E-05,1.00E-06,
795,0.00644,,,0.00896
796,0.00672,,,0.00924
797,0.00672,,,0.00924
798,0.00672,,,0.00924
799,0.00672,,,0.00924
800,0.00672,,,0.00924
801,0.007,,,0.00952
802,0.007,,,0.00952
803,0.007,,,0.00952
804,0.007,,,0.00952
805,0.007,,,0.00952
806,0.007,,,0.00952
807,0.007,,,0.00952
808,0.007,,,0.00952
809,0.007,,,0.00952
810,0.007,,,0.00952
811,0.007,,,0.00952
812,0.007,,,0.00952
813,0.007,,,0.00952
814,0.007,,,0.00952
815,0.007,,,0.00952
816,0.007,,,0.00952
817,0.007,,,0.00952
818,0.00728,,,0.0098
819,0.00728,,,0.0098
820,0.00728,,,0.0098
821,0.00728,,,0.0098
822,0.00728,,,0.0098
823,0.00728,,,0.0098
824,0.00728,,,0.0098
825,0.00728,,,0.0098
826,0.00728,,,0.0098
827,0.00728,,,0.0098
828,0.00728,,,0.0098
829,0.00728,,,0.0098
830,0.00728,,,0.0098
831,0.00728,,,0.0098
832,0.00728,,,0.0098
833,0.00728,,,0.0098
834,0.00728,,,0.0098
835,0.00728,,,0.0098
836,0.00728,,,0.0098
837,0.00728,,,0.0098
838,0.00728,,,0.0098
839,0.00728,,,0.0098
840,0.00728,,,0.0098
841,0.00728,,,0.0098
842,0.00728,,,0.0098
843,0.00728,,,0.0098
844,0.007,,,0.00952
845,0.007,,,0.00952
846,0.007,,,0.00952
847,0.007,,,0.00952
848,0.00672,,,0.00924
849,0.00672,,,0.00924
850,0.00672,,,0.00924
851,0.00672,,,0.00924
852,0.00672,,,0.00924
853,0.00644,,,0.00896
854,0.00644,,,0.00896
855,0.00644,,,0.00896
856,0.00616,,,0.00868
857,0.00616,,,0.00868
858,0.00616,,,0.00868
859,0.00588,,,0.0084
860,0.00588,,,0.0084
861,0.00588,,,0.0084
862,0.00588,,,0.0084
863,0.00588,,,0.0084
864,0.0056,,,0.00812
865,0.0056,,,0.00812
866,0.00532,,,0.00784
867,0.00532,,,0.00784
868,0.00532,,,0.00784
869,0.00504,,,0.00756
870,0.00504,,,0.00756
871,0.00504,,,0.00756
872,0.00504,,,0.00756
873,0.00476,,,0.00728
874,0.00476,,,0.00728
875,0.00448,,,0.007
876,0.00448,,,0.007
877,0.00448,,,0.007
878,0.0042,,,0.00672
879,0.0042,,,0.00672
880,0.00392,,,0.00644
881,0.00392,,,0.00644
882,0.00364,,,0.00616
883,0.00364,,,0.00616
884,0.00364,,,0.00616
885,0.00364,,,0.00616
886,0.00336,,,0.00588
887,0.00336,,,0.00588
888,0.00308,,,0.0056
889,0.00308,,,0.0056
890,0.00308,,,0.0056
891,0.0028,,,0.00532
892,0.0028,,,0.00532
893,0.0028,,,0.00532
894,0.0028,,,0.00532
895,0.0028,,,0.00532
896,0.0028,,,0.00532
897,0.00252,,,0.00504
898,0.00252,,,0.00504
899,0.00252,,,0.00504
900,0.00252,,,0.00504
901,0.00252,,,0.00504
902,0.00252,,,0.00504
903,0.00252,,,0.00504
904,0.00224,,,0.00476
905,0.00224,,,0.00476
906,0.00196,,,0.00448
907,0.00196,,,0.00448
908,0.00196,,,0.00448
909,0.00196,,,0.00448
910,0.00168,,,0.0042
911,0.00168,,,0.0042
912,0.00168,,,0.0042
913,0.00168,,,0.0042
914,0.00168,,,0.0042
915,0.0014,,,0.00392
916,0.0014,,,0.00392
917,0.00112,,,0.00364
918,0.00112,,,0.00364
919,0.00112,,,0.00364
920,0.00084,,,0.00336
921,0.00084,,,0.00336
922,0.00084,,,0.00336
923,0.00084,,,0.00336
924,0.00084,,,0.00336
925,0.00084,,,0.00336
926,0.00112,,,0.00364
927,0.00112,,,0.00364
928,0.00112,,,0.00364
929,0.00112,,,0.00364
930,0.00112,,,0.00364
931,0.00112,,,0.00364
932,0.00112,,,0.00364
933,0.00112,,,0.00364
934,0.0014,,,0.00392
935,0.0014,,,0.00392
936,0.0014,,,0.00392
937,0.0014,,,0.00392
938,0.0014,,,0.00392
939,0.00168,,,0.0042
940,0.00168,,,0.0042
941,0.00168,,,0.0042
942,0.00196,,,0.00448
943,0.00196,,,0.00448
944,0.00196,,,0.00448
945,0.00224,,,0.00476
946,0.00224,,,0.00476
947,0.00252,,,0.00504
948,0.00252,,,0.00504
949,0.00252,,,0.00504
950,0.0028,,,0.00532
